phase,geneID,modified
G2/M,WBGene00006974,2024-07-04
G2/M,WBGene00000257,2024-07-04
G2/M,WBGene00000405,2024-07-04
G2/M,WBGene00000099,2024-07-04
S,WBGene00011912,2024-07-04
S,WBGene00004338,2024-07-04
S,WBGene00004297,2024-07-04
S,WBGene00003154,2024-07-04
S,WBGene00013241,2024-07-04
S,WBGene00009372,2024-07-04
S,WBGene00000382,2024-07-04
S,WBGene00003418,2024-07-04
S,WBGene00003156,2024-07-04
S,WBGene00009287,2024-07-04
S,WBGene00022141,2024-07-04
S,WBGene00000794,2024-07-04
S,WBGene00022455,2024-07-04
