phase,geneID,modified
G2/M,ENSMUSG00000038252,2020-07-31
G2/M,ENSMUSG00000036777,2020-07-31
G2/M,ENSMUSG00000020330,2020-07-31
G2/M,ENSMUSG00000022385,2020-07-31
G2/M,ENSMUSG00000024056,2020-07-31
G2/M,ENSMUSG00000027496,2020-07-31
G2/M,ENSMUSG00000027469,2020-07-31
G2/M,ENSMUSG00000017716,2020-07-31
G2/M,ENSMUSG00000035293,2020-07-31
G2/M,ENSMUSG00000009575,2020-07-31
G2/M,ENSMUSG00000022391,2020-07-31
G2/M,ENSMUSG00000005698,2020-07-31
G2/M,ENSMUSG00000023505,2020-07-31
G2/M,ENSMUSG00000038379,2020-07-31
G2/M,ENSMUSG00000034349,2020-07-31
G2/M,ENSMUSG00000027699,2020-07-31
G2/M,ENSMUSG00000029177,2020-07-31
G2/M,ENSMUSG00000006398,2020-07-31
G2/M,ENSMUSG00000026622,2020-07-31
G2/M,ENSMUSG00000026605,2020-07-31
G2/M,ENSMUSG00000019961,2020-07-31
G2/M,ENSMUSG00000062248,2020-07-31
G2/M,ENSMUSG00000037544,2020-07-31
G2/M,ENSMUSG00000020808,2020-07-31
G2/M,ENSMUSG00000020914,2020-07-31
G2/M,ENSMUSG00000068744,2020-07-31
G2/M,ENSMUSG00000028873,2020-07-31
G2/M,ENSMUSG00000037725,2020-07-31
G2/M,ENSMUSG00000032254,2020-07-31
G2/M,ENSMUSG00000012443,2020-07-31
G2/M,ENSMUSG00000024795,2020-07-31
G2/M,ENSMUSG00000045328,2020-07-31
G2/M,ENSMUSG00000074802,2020-07-31
G2/M,ENSMUSG00000028678,2020-07-31
G2/M,ENSMUSG00000026683,2020-07-31
G2/M,ENSMUSG00000015749,2020-07-31
G2/M,ENSMUSG00000004880,2020-07-31
G2/M,ENSMUSG00000032218,2020-07-31
G2/M,ENSMUSG00000044201,2020-07-31
G2/M,ENSMUSG00000054717,2020-07-31
G2/M,ENSMUSG00000048327,2020-07-31
G2/M,ENSMUSG00000027379,2020-07-31
G2/M,ENSMUSG00000019942,2020-07-31
G2/M,ENSMUSG00000001403,2020-07-31
G2/M,ENSMUSG00000040549,2020-07-31
G2/M,ENSMUSG00000020897,2020-07-31
G2/M,ENSMUSG00000048922,2020-07-31
G2/M,ENSMUSG00000036752,2020-07-31
S,ENSMUSG00000023104,2020-07-31
S,ENSMUSG00000027323,2020-07-31
S,ENSMUSG00000002870,2020-07-31
S,ENSMUSG00000032397,2020-07-31
S,ENSMUSG00000026355,2020-07-31
S,ENSMUSG00000029591,2020-07-31
S,ENSMUSG00000030726,2020-07-31
S,ENSMUSG00000027242,2020-07-31
S,ENSMUSG00000042489,2020-07-31
S,ENSMUSG00000000028,2020-07-31
S,ENSMUSG00000017499,2020-07-31
S,ENSMUSG00000024151,2020-07-31
S,ENSMUSG00000005410,2020-07-31
S,ENSMUSG00000006678,2020-07-31
S,ENSMUSG00000022673,2020-07-31
S,ENSMUSG00000030346,2020-07-31
S,ENSMUSG00000006715,2020-07-31
S,ENSMUSG00000028884,2020-07-31
S,ENSMUSG00000028282,2020-07-31
S,ENSMUSG00000025001,2020-07-31
S,ENSMUSG00000046179,2020-07-31
S,ENSMUSG00000031821,2020-07-31
S,ENSMUSG00000027342,2020-07-31
S,ENSMUSG00000028693,2020-07-31
S,ENSMUSG00000034329,2020-07-31
S,ENSMUSG00000022422,2020-07-31
S,ENSMUSG00000037474,2020-07-31
S,ENSMUSG00000055612,2020-07-31
S,ENSMUSG00000031629,2020-07-31
S,ENSMUSG00000022945,2020-07-31
S,ENSMUSG00000028560,2020-07-31
S,ENSMUSG00000004642,2020-07-31
S,ENSMUSG00000030978,2020-07-31
S,ENSMUSG00000024742,2020-07-31
S,ENSMUSG00000020649,2020-07-31
S,ENSMUSG00000039748,2020-07-31
S,ENSMUSG00000028212,2020-07-31
S,ENSMUSG00000025747,2020-07-31
S,ENSMUSG00000030528,2020-07-31
S,ENSMUSG00000001228,2020-07-31
