cellType,geneID,highConf,scaffold,notes,modified
Gut Epithelial Cell,ENSDARG00000002445,FALSE,FALSE,"",2019-04-19
Gut Epithelial Cell,ENSDARG00000052139,FALSE,FALSE,"",2019-04-19
Gut Epithelial Cell,ENSDARG00000021494,FALSE,FALSE,"",2019-04-19
Gut Epithelial Cell,ENSDARG00000016526,FALSE,FALSE,"",2019-04-19
Gut Epithelial Cell,ENSDARG00000003411,FALSE,FALSE,"",2019-04-19
Gut Epithelial Cell,ENSDARG00000102138,FALSE,FALSE,"",2019-04-19
Gut Epithelial Cell,ENSDARG00000017821,FALSE,FALSE,"",2019-04-19
Gut Epithelial Cell,ENSDARG00000058868,FALSE,FALSE,"",2019-04-19
Gut Epithelial Cell,ENSDARG00000103589,FALSE,FALSE,"",2019-04-19
Gut Epithelial Cell,ENSDARG00000099950,FALSE,FALSE,"",2019-04-19
Gut Epithelial Cell,ENSDARG00000003927,FALSE,FALSE,"",2019-04-19
Gut Epithelial Cell,ENSDARG00000044569,FALSE,FALSE,"",2019-04-19
Gut Epithelial Cell,ENSDARG00000071565,FALSE,FALSE,"",2019-04-19
Gut Epithelial Cell,ENSDARG00000044387,FALSE,FALSE,"",2019-04-19
Gut Epithelial Cell,ENSDARG00000055294,FALSE,FALSE,"",2019-04-19
Gut Epithelial Cell,ENSDARG00000060542,FALSE,FALSE,"",2019-04-19
Mesenchymal Stem Cell,ENSDARG00000071017,FALSE,FALSE,"",2019-04-19
Monocyte,ENSDARG00000021984,TRUE,FALSE,"",2019-04-19
