cellType,geneID,highConf,scaffold,modified
Crystal Cell,FBgn0002576,TRUE,FALSE,9/13/17
Crystal Cell,FBgn0002643,TRUE,FALSE,9/13/17
Crystal Cell,FBgn0013469,TRUE,FALSE,9/13/17
Crystal Cell,FBgn0039938,TRUE,FALSE,9/13/17
Crystal Cell,FBgn0283437,TRUE,FALSE,6/29/18
Lamellocyte,FBgn0000568,TRUE,FALSE,9/13/17
Lamellocyte,FBgn0001297,TRUE,FALSE,9/13/17
Lamellocyte,FBgn0001319,TRUE,FALSE,9/13/17
Lamellocyte,FBgn0003118,TRUE,FALSE,9/13/17
Lamellocyte,FBgn0004657,TRUE,FALSE,9/13/17
Lamellocyte,FBgn0004907,TRUE,FALSE,9/13/17
Lamellocyte,FBgn0010395,TRUE,FALSE,9/13/17
Lamellocyte,FBgn0010909,TRUE,FALSE,9/13/17
Lamellocyte,FBgn0014141,TRUE,FALSE,9/13/17
Lamellocyte,FBgn0015371,TRUE,FALSE,9/13/17
Lamellocyte,FBgn0032422,TRUE,FALSE,9/13/17
Lamellocyte,FBgn0034005,TRUE,FALSE,9/13/17
Lamellocyte,FBgn0034880,TRUE,FALSE,9/13/17
Lamellocyte,FBgn0038197,TRUE,FALSE,9/13/17
Lamellocyte,FBgn0262975,TRUE,FALSE,9/13/17
Lamellocyte,FBgn0263118,TRUE,FALSE,9/13/17
Plasmatocyte,FBgn0000299,TRUE,FALSE,9/13/17
Plasmatocyte,FBgn0003118,TRUE,FALSE,9/20/17
Plasmatocyte,FBgn0003870,TRUE,FALSE,9/13/17
Plasmatocyte,FBgn0011828,TRUE,FALSE,9/13/17
Plasmatocyte,FBgn0014179,TRUE,FALSE,9/13/17
Plasmatocyte,FBgn0015924,TRUE,FALSE,9/13/17
Plasmatocyte,FBgn0019809,TRUE,FALSE,9/13/17
Plasmatocyte,FBgn0023097,TRUE,FALSE,9/13/17
Plasmatocyte,FBgn0024251,TRUE,FALSE,9/13/17
Plasmatocyte,FBgn0028430,TRUE,FALSE,9/13/17
Plasmatocyte,FBgn0029167,TRUE,FALSE,9/13/17
Plasmatocyte,FBgn0033968,TRUE,FALSE,9/13/17
Plasmatocyte,FBgn0039938,TRUE,FALSE,9/13/17
Plasmatocyte,FBgn0040104,TRUE,FALSE,9/13/17
Plasmatocyte,FBgn0086758,TRUE,FALSE,9/13/17
Plasmatocyte,FBgn0243514,TRUE,FALSE,9/13/17
Plasmatocyte,FBgn0259176,TRUE,FALSE,9/13/17
Plasmatocyte,FBgn0259896,TRUE,FALSE,9/13/17
Prohemocyte,FBgn0001168,TRUE,FALSE,9/13/17
Prohemocyte,FBgn0002985,TRUE,FALSE,9/13/17
Prohemocyte,FBgn0003391,TRUE,FALSE,9/13/17
Prohemocyte,FBgn0003507,TRUE,FALSE,9/13/17
Prohemocyte,FBgn0003892,TRUE,FALSE,9/13/17
Prohemocyte,FBgn0041180,TRUE,FALSE,9/13/17
Prohemocyte,FBgn0043903,TRUE,FALSE,9/13/17
Prohemocyte,FBgn0284084,TRUE,FALSE,6/29/18
