cellType,geneID,highConf,scaffold,modified,notes
B Cell,ENSG00000177455,TRUE,FALSE,9/13/17,
B Cell,ENSG00000211592,FALSE,FALSE,9/13/17,"IgG, IgM, IgA: Immunoglobulin constant (IG_C_gene)"
B Cell,ENSG00000211675,FALSE,FALSE,9/13/17,"IgG, IgM, IgA: Immunoglobulin constant (IG_C_gene)"
B Cell,ENSG00000211677,FALSE,FALSE,9/13/17,"IgG, IgM, IgA: Immunoglobulin constant (IG_C_gene)"
B Cell,ENSG00000211679,FALSE,FALSE,9/13/17,"IgG, IgM, IgA: Immunoglobulin constant (IG_C_gene)"
B Cell,ENSG00000211685,FALSE,FALSE,9/13/17,"IgG, IgM, IgA: Immunoglobulin constant (IG_C_gene)"
B Cell,ENSG00000211890,FALSE,FALSE,9/13/17,"IgG, IgM, IgA: Immunoglobulin constant (IG_C_gene)"
B Cell,ENSG00000211891,FALSE,FALSE,9/13/17,"IgG, IgM, IgA: Immunoglobulin constant (IG_C_gene)"
B Cell,ENSG00000211892,FALSE,FALSE,9/13/17,"IgG, IgM, IgA: Immunoglobulin constant (IG_C_gene)"
B Cell,ENSG00000211893,FALSE,FALSE,9/13/17,"IgG, IgM, IgA: Immunoglobulin constant (IG_C_gene)"
B Cell,ENSG00000211895,FALSE,FALSE,9/13/17,"IgG, IgM, IgA: Immunoglobulin constant (IG_C_gene)"
B Cell,ENSG00000211896,FALSE,FALSE,9/13/17,"IgG, IgM, IgA: Immunoglobulin constant (IG_C_gene)"
B Cell,ENSG00000211897,FALSE,FALSE,9/13/17,"IgG, IgM, IgA: Immunoglobulin constant (IG_C_gene)"
B Cell,ENSG00000211898,FALSE,FALSE,9/13/17,"IgG, IgM, IgA: Immunoglobulin constant (IG_C_gene)"
B Cell,ENSG00000211899,FALSE,FALSE,9/13/17,"IgG, IgM, IgA: Immunoglobulin constant (IG_C_gene)"
