cellType,geneID,highConf,scaffold,notes,modified
B Cell,ENSMUSG00000030724,TRUE,FALSE,"",2020-07-31
B Cell,ENSMUSG00000076609,FALSE,FALSE,"IgG, IgM, IgA: Immunoglobulin constant (IG_C_gene)",2020-07-31
B Cell,ENSMUSG00000076617,FALSE,FALSE,"IgG, IgM, IgA: Immunoglobulin constant (IG_C_gene)",2020-07-31
Dendritic Cell,ENSMUSG00000030789,TRUE,FALSE,"",2020-07-31
Dendritic Cell,ENSMUSG00000024334,FALSE,FALSE,MHCII,2020-07-31
Dendritic Cell,ENSMUSG00000037649,FALSE,FALSE,MHCII,2020-07-31
Dendritic Cell,ENSMUSG00000036322,FALSE,FALSE,MHCII,2020-07-31
Gut Epithelial Cell,ENSMUSG00000037625,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000000303,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000038151,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000032473,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000038146,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000022744,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000017950,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000031162,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000001739,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000015619,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000021796,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000038148,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000037025,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000027314,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000035451,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000015627,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000042793,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000027876,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000027878,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000022132,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000005871,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000029556,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000021944,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000020140,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000027208,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000005836,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000026923,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000055811,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000050520,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000046798,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000047109,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000038973,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000022512,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000066058,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000017688,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000070473,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000047230,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000029646,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000037621,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000050808,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000091530,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000073043,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000015053,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000036816,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000018569,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000041378,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000023906,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000047501,TRUE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000014773,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000050199,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000066720,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000055976,FALSE,FALSE,"",2020-07-31
Gut Epithelial Cell,ENSMUSG00000020679,FALSE,FALSE,"",2020-07-31
Macrophage,ENSMUSG00000027398,FALSE,FALSE,"",2020-07-31
Macrophage,ENSMUSG00000079227,FALSE,FALSE,"",2020-07-31
Mesenchymal Stem Cell,ENSMUSG00000005087,FALSE,FALSE,"",2020-07-31
Mesenchymal Stem Cell,ENSMUSG00000026814,FALSE,FALSE,"",2020-07-31
Mesenchymal Stem Cell,ENSMUSG00000032420,FALSE,FALSE,"",2020-07-31
Mesenchymal Stem Cell,ENSMUSG00000032011,FALSE,FALSE,"",2020-07-31
Monocyte,ENSMUSG00000014294,TRUE,FALSE,"",2020-07-31
Natural Killer Cell,ENSMUSG00000039542,TRUE,FALSE,"",2020-07-31
T Cell,ENSMUSG00000023274,TRUE,FALSE,"",2020-07-31
T Cell,ENSMUSG00000026770,FALSE,FALSE,"",2020-07-31
T Cell,ENSMUSG00000002033,FALSE,FALSE,"",2020-07-31
T Cell,ENSMUSG00000032094,FALSE,FALSE,"",2020-07-31
T Cell,ENSMUSG00000005763,FALSE,FALSE,"",2020-07-31
T Cell,ENSMUSG00000032093,FALSE,FALSE,"",2020-07-31
