phase,geneID,modified,gene_name
G2/M,ENSG00000010292,9/13/17,NCAPD2
G2/M,ENSG00000011426,9/13/17,ANLN
G2/M,ENSG00000013810,9/13/17,TACC3
G2/M,ENSG00000072571,9/13/17,HMMR
G2/M,ENSG00000075218,9/13/17,GTSE1
G2/M,ENSG00000080986,9/13/17,NDC80
G2/M,ENSG00000087586,9/13/17,AURKA
G2/M,ENSG00000088325,9/13/17,TPX2
G2/M,ENSG00000089685,9/13/17,BIRC5
G2/M,ENSG00000092140,9/13/17,G2E3
G2/M,ENSG00000094916,9/13/17,CBX5
G2/M,ENSG00000100401,9/13/17,RANGAP1
G2/M,ENSG00000102974,9/13/17,CTCF
G2/M,ENSG00000111665,9/13/17,CDCA3
G2/M,ENSG00000112742,9/13/17,TTK
G2/M,ENSG00000113810,9/13/17,SMC4
G2/M,ENSG00000114346,9/13/17,ECT2
G2/M,ENSG00000115163,9/13/17,CENPA
G2/M,ENSG00000117399,9/13/17,CDC20
G2/M,ENSG00000117650,9/13/17,NEK2
G2/M,ENSG00000117724,9/13/17,CENPF
G2/M,ENSG00000120802,9/13/17,TMPO
G2/M,ENSG00000123485,9/13/17,HJURP
G2/M,ENSG00000123975,9/13/17,CKS2
G2/M,ENSG00000126787,9/13/17,DLGAP5
G2/M,ENSG00000129195,9/13/17,PIMREG
G2/M,ENSG00000131747,9/13/17,TOP2A
G2/M,ENSG00000134222,9/13/17,PSRC1
G2/M,ENSG00000134690,9/13/17,CDCA8
G2/M,ENSG00000136108,9/13/17,CKAP2
G2/M,ENSG00000137804,9/13/17,NUSAP1
G2/M,ENSG00000137807,9/13/17,KIF23
G2/M,ENSG00000138160,9/13/17,KIF11
G2/M,ENSG00000138182,9/13/17,KIF20B
G2/M,ENSG00000138778,9/13/17,CENPE
G2/M,ENSG00000139354,9/13/17,GAS2L3
G2/M,ENSG00000142945,9/13/17,KIF2C
G2/M,ENSG00000143228,9/13/17,NUF2
G2/M,ENSG00000143401,9/13/17,ANP32E
G2/M,ENSG00000143815,9/13/17,LBR
G2/M,ENSG00000148773,9/13/17,MKI67
G2/M,ENSG00000157456,9/13/17,CCNB2
G2/M,ENSG00000158402,9/13/17,CDC25C
G2/M,ENSG00000164104,9/13/17,HMGB2
G2/M,ENSG00000169607,9/13/17,CKAP2L
G2/M,ENSG00000169679,9/13/17,BUB1
G2/M,ENSG00000170312,9/13/17,CDK1
G2/M,ENSG00000173207,9/13/17,CKS1B
G2/M,ENSG00000175063,9/13/17,UBE2C
G2/M,ENSG00000175216,9/13/17,CKAP5
G2/M,ENSG00000178999,9/13/17,AURKB
G2/M,ENSG00000184661,9/13/17,CDCA2
G2/M,ENSG00000188229,9/13/17,TUBB4B
G2/M,ENSG00000189159,9/13/17,JPT1
S,ENSG00000012963,9/13/17,UBR7
S,ENSG00000049541,9/13/17,RFC2
S,ENSG00000051180,9/13/17,RAD51
S,ENSG00000073111,9/13/17,MCM2
S,ENSG00000075131,9/13/17,TIPIN
S,ENSG00000076003,9/13/17,MCM6
S,ENSG00000076248,9/13/17,UNG
S,ENSG00000077514,9/13/17,POLD3
S,ENSG00000092470,9/13/17,WDR76
S,ENSG00000092853,9/13/17,CLSPN
S,ENSG00000093009,9/13/17,CDC45
S,ENSG00000094804,9/13/17,CDC6
S,ENSG00000095002,9/13/17,MSH2
S,ENSG00000100297,9/13/17,MCM5
S,ENSG00000101868,9/13/17,POLA1
S,ENSG00000104738,9/13/17,MCM4
S,ENSG00000111247,9/13/17,RAD51AP1
S,ENSG00000112312,9/13/17,GMNN
S,ENSG00000117748,9/13/17,RPA2
S,ENSG00000118412,9/13/17,CASP8AP2
S,ENSG00000119969,9/13/17,HELLS
S,ENSG00000129173,9/13/17,E2F8
S,ENSG00000131153,9/13/17,GINS2
S,ENSG00000132646,9/13/17,PCNA
S,ENSG00000132780,9/13/17,NASP
S,ENSG00000136492,9/13/17,BRIP1
S,ENSG00000136982,9/13/17,DSCC1
S,ENSG00000143476,9/13/17,DTL
S,ENSG00000144354,9/13/17,CDCA7
S,ENSG00000151725,9/13/17,CENPU
S,ENSG00000156802,9/13/17,ATAD2
S,ENSG00000159259,9/13/17,CHAF1B
S,ENSG00000162607,9/13/17,USP1
S,ENSG00000163950,9/13/17,SLBP
S,ENSG00000167325,9/13/17,RRM1
S,ENSG00000168496,9/13/17,FEN1
S,ENSG00000171848,9/13/17,RRM2
S,ENSG00000174371,9/13/17,EXO1
S,ENSG00000175305,9/13/17,CCNE2
S,ENSG00000176890,9/13/17,TYMS
S,ENSG00000197299,9/13/17,BLM
S,ENSG00000198056,9/13/17,PRIM1
S,ENSG00000276043,9/13/17,UHRF1
