phase,geneID,modified
G2/M,FBgn0000063,9/13/17
G2/M,FBgn0000147,9/13/17
G2/M,FBgn0000405,9/13/17
G2/M,FBgn0001086,9/13/17
G2/M,FBgn0002673,9/13/17
G2/M,FBgn0003041,9/13/17
G2/M,FBgn0003346,9/13/17
G2/M,FBgn0003525,9/13/17
G2/M,FBgn0003545,9/13/17
G2/M,FBgn0003607,9/13/17
G2/M,FBgn0004106,9/13/17
G2/M,FBgn0004378,9/13/17
G2/M,FBgn0005683,9/13/17
G2/M,FBgn0011692,9/13/17
G2/M,FBgn0015391,9/13/17
G2/M,FBgn0027948,9/13/17
G2/M,FBgn0029881,9/13/17
G2/M,FBgn0029970,9/13/17
G2/M,FBgn0030082,9/13/17
G2/M,FBgn0031091,9/13/17
G2/M,FBgn0031696,9/13/17
G2/M,FBgn0033845,9/13/17
G2/M,FBgn0034282,9/13/17
G2/M,FBgn0034657,9/13/17
G2/M,FBgn0035769,9/13/17
G2/M,FBgn0037613,9/13/17
G2/M,FBgn0037675,9/13/17
G2/M,FBgn0039019,9/13/17
G2/M,FBgn0039680,9/13/17
G2/M,FBgn0040232,9/13/17
G2/M,FBgn0040233,9/13/17
G2/M,FBgn0261385,9/13/17
G2/M,FBgn0263855,9/13/17
G2/M,FBgn0264291,9/13/17
G2/M,FBgn0264848,9/13/17
G2/M,FBgn0278608,6/29/18
G2/M,FBgn0284220,6/29/17
S,FBgn0002906,9/13/17
S,FBgn0003479,9/13/17
S,FBgn0005655,9/13/17
S,FBgn0010382,9/13/17
S,FBgn0011704,9/13/17
S,FBgn0011762,9/13/17
S,FBgn0013548,9/13/17
S,FBgn0014861,9/13/17
S,FBgn0015546,9/13/17
S,FBgn0015553,9/13/17
S,FBgn0015929,9/13/17
S,FBgn0017577,9/13/17
S,FBgn0024920,9/13/17
S,FBgn0025815,9/13/17
S,FBgn0025832,9/13/17
S,FBgn0026143,9/13/17
S,FBgn0028476,9/13/17
S,FBgn0032635,9/13/17
S,FBgn0032698,9/13/17
S,FBgn0032813,9/13/17
S,FBgn0032906,9/13/17
S,FBgn0033526,9/13/17
S,FBgn0034495,9/13/17
S,FBgn0035918,9/13/17
S,FBgn0041186,9/13/17
S,FBgn0052251,9/13/17
S,FBgn0259113,9/13/17
S,FBgn0260985,9/13/17
S,FBgn0261976,9/13/17
